cv_folds,model,parameters,predictors,score,score_std,timestamp
5.0,log,"{'multi_class': 'ovr', 'C': 0.001, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.999690397835,0.00461549381804,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.996592184595,0.00605014016775,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.001, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.99281511055,0.00437449468439,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.975318490215,0.0101595164979,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.001, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.720793026202,0.00219846294988,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.721607816249,0.00281029939924,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.001, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.71841219611,0.00261012824884,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.720853230533,0.00288960707853,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.01, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.995318081739,0.00475033380882,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.992284427089,0.00436339658052,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.01, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990765968862,0.00442682632165,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.975602073692,0.0104504036813,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.01, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718298457524,0.00285656438612,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719517164676,0.00352384855946,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.01, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.717008649965,0.00311987921397,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719130944306,0.00435064405514,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.1, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.99483705855,0.00474674516261,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989826948877,0.00829132002098,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.1, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990610233932,0.00440335477627,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.972861654377,0.00919943852022,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.1, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718120923222,0.00298326197781,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719441810759,0.00351006401898,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.1, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716901947927,0.00321126799497,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719719639872,0.00436713051174,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994789675572,0.0047459948962,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989578492357,0.00838474210888,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990597688349,0.00439945710068,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.976567564036,0.0112439316383,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718107827817,0.002997799899,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719464078599,0.00355702324833,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.71689383719,0.00322170384041,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072806331,0.00444852258855,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994784997454,0.00474588797096,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989564037572,0.00834284595509,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990596449345,0.00439917504664,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.976573643469,0.0112480445045,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718106603069,0.0029992801485,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719260823911,0.00357468669747,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716893074968,0.00322277562514,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072346345,0.00444941526233,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994784496528,0.0047458946783,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989630107729,0.00819235025566,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 100, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990596076766,0.00439903980755,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.976574490869,0.0112487294819,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718106481481,0.00299942842013,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719261445704,0.00357503006281,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 100, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716892994748,0.00322288172419,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 100, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072289605,0.00444950886484,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1000, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994784448117,0.00474589465894,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1000, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989629867243,0.00819232215246,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990596330798,0.00439916701119,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.976572056087,0.0112458459537,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1000, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718106467631,0.00299944355365,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1000, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719259755215,0.00357459869986,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716892987305,0.00322289256619,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072284745,0.00444951789927,2017-03-15 16:28
